competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202411,5,Centro-Oeste,outras_condicoes_maternas,outras_condicoes_da_gestacao,121,14676,0.8245,405,28376.07,0
202411,5,Centro-Oeste,transtornos_hipertensivos,eclampsia,42,14676,0.2862,269,73853.70,0
202411,5,Centro-Oeste,transtornos_hipertensivos,hipertensao_gestacional,226,14676,1.5399,865,125622.66,0
202411,5,Centro-Oeste,transtornos_hipertensivos,outros_hipertensivos,212,14676,1.4445,790,174312.92,0
202411,5,Centro-Oeste,transtornos_hipertensivos,pre_eclampsia,324,14676,2.2077,1158,236843.32,0
202412,1,Norte,complicacoes_anestesicas,anestesia_obstetrica,17,20908,0.0813,34,3278.38,0
202412,1,Norte,complicacoes_gestacao,liquido_membranas_ou_placenta,624,20908,2.9845,2093,502549.65,0
202412,1,Norte,complicacoes_parto,trabalho_de_parto_ou_parto,2980,20908,14.2529,7868,2180059.28,3
202412,1,Norte,complicacoes_puerperais,outras_complicacoes_puerperais,119,20908,0.5692,545,38868.93,0
202412,1,Norte,complicacoes_vasculares,complicacoes_venosas,11,20908,0.0526,29,3617.51,0
202412,1,Norte,complicacoes_vasculares,embolia_obstetrica,1,20908,0.0048,2,514.60,0
202412,1,Norte,desfecho_abortivo,gestacao_com_desfecho_abortivo,1588,20908,7.5952,2835,396241.92,0
202412,1,Norte,disturbios_metabolicos,diabetes_na_gestacao,366,20908,1.7505,1494,230525.49,0
202412,1,Norte,hemorragias,hemorragia_pos_parto,11,20908,0.0526,31,2454.61,0
202412,1,Norte,hemorragias,outras_hemorragias_obstetricas,449,20908,2.1475,1354,123136.40,0
202412,1,Norte,infeccoes,infeccao_geniturinaria_gestacao,635,20908,3.0371,2172,104232.27,0
202412,1,Norte,infeccoes,infeccao_puerperal,169,20908,0.8083,812,48011.26,0
202412,1,Norte,outras_condicoes_maternas,anemia_complicando_gestacao,14,20908,0.067,72,3208.96,0
202412,1,Norte,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,507,20908,2.4249,1964,153205.43,1
202412,1,Norte,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,1,20908,0.0048,2,125.24,0
202412,1,Norte,outras_condicoes_maternas,outras_condicoes_da_gestacao,90,20908,0.4305,277,24840.92,0
202412,1,Norte,transtornos_hipertensivos,eclampsia,59,20908,0.2822,185,39143.68,0
202412,1,Norte,transtornos_hipertensivos,hipertensao_gestacional,189,20908,0.904,683,125737.03,0
202412,1,Norte,transtornos_hipertensivos,outros_hipertensivos,154,20908,0.7366,607,108196.46,0
202412,1,Norte,transtornos_hipertensivos,pre_eclampsia,490,20908,2.3436,1862,417138.64,0
202412,2,Nordeste,complicacoes_anestesicas,anestesia_obstetrica,49,49285,0.0994,122,10004.93,0
202412,2,Nordeste,complicacoes_gestacao,liquido_membranas_ou_placenta,2005,49285,4.0682,5725,1483340.90,0
202412,2,Nordeste,complicacoes_parto,trabalho_de_parto_ou_parto,5566,49285,11.2935,14345,3494317.72,2
202412,2,Nordeste,complicacoes_puerperais,outras_complicacoes_puerperais,351,49285,0.7122,1600,149587.84,0
