competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202410,BR,Brasil,transtornos_hipertensivos,outros_hipertensivos,2750,172041,1.5985,9753,2138387.96,0
202410,BR,Brasil,transtornos_hipertensivos,pre_eclampsia,4863,172041,2.8267,20007,4119703.76,5
202411,BR,Brasil,complicacoes_anestesicas,anestesia_obstetrica,146,166361,0.0878,402,37615.83,0
202411,BR,Brasil,complicacoes_gestacao,liquido_membranas_ou_placenta,5923,166361,3.5603,17979,4480125.74,1
202411,BR,Brasil,complicacoes_parto,trabalho_de_parto_ou_parto,19655,166361,11.8147,53283,13168086.55,10
202411,BR,Brasil,complicacoes_puerperais,outras_complicacoes_puerperais,975,166361,0.5861,3896,432213.88,1
202411,BR,Brasil,complicacoes_vasculares,complicacoes_venosas,204,166361,0.1226,855,56508.51,0
202411,BR,Brasil,complicacoes_vasculares,embolia_obstetrica,9,166361,0.0054,31,8249.14,1
202411,BR,Brasil,desfecho_abortivo,gestacao_com_desfecho_abortivo,14961,166361,8.9931,24952,4107617.36,7
202411,BR,Brasil,disturbios_metabolicos,diabetes_na_gestacao,4950,166361,2.9755,19843,3157762.14,2
202411,BR,Brasil,hemorragias,hemorragia_pos_parto,234,166361,0.1407,723,155106.31,1
202411,BR,Brasil,hemorragias,outras_hemorragias_obstetricas,3506,166361,2.1075,7515,966554.40,3
202411,BR,Brasil,infeccoes,infeccao_geniturinaria_gestacao,2723,166361,1.6368,10629,562477.23,0
202411,BR,Brasil,infeccoes,infeccao_puerperal,1189,166361,0.7147,6582,481363.31,4
202411,BR,Brasil,outras_condicoes_maternas,anemia_complicando_gestacao,108,166361,0.0649,414,53168.97,0
202411,BR,Brasil,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,5574,166361,3.3505,21097,2173241.20,3
202411,BR,Brasil,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,32,166361,0.0192,76,13588.03,0
202411,BR,Brasil,outras_condicoes_maternas,outras_condicoes_da_gestacao,1411,166361,0.8482,4772,440778.86,0
202411,BR,Brasil,transtornos_hipertensivos,eclampsia,454,166361,0.2729,1927,389237.61,1
202411,BR,Brasil,transtornos_hipertensivos,hipertensao_gestacional,2291,166361,1.3771,8275,1508241.65,0
202411,BR,Brasil,transtornos_hipertensivos,outros_hipertensivos,2678,166361,1.6098,9284,2112964.18,0
202411,BR,Brasil,transtornos_hipertensivos,pre_eclampsia,4710,166361,2.8312,20385,4062974.53,4
202412,BR,Brasil,complicacoes_anestesicas,anestesia_obstetrica,131,162177,0.0808,328,37386.63,0
202412,BR,Brasil,complicacoes_gestacao,liquido_membranas_ou_placenta,5742,162177,3.5406,17161,4283633.46,1
202412,BR,Brasil,complicacoes_parto,trabalho_de_parto_ou_parto,18941,162177,11.6792,50389,12376125.23,6
202412,BR,Brasil,complicacoes_puerperais,outras_complicacoes_puerperais,914,162177,0.5636,3667,360463.04,1
202412,BR,Brasil,complicacoes_vasculares,complicacoes_venosas,229,162177,0.1412,987,92413.68,0
202412,BR,Brasil,complicacoes_vasculares,embolia_obstetrica,5,162177,0.0031,20,2128.89,0
202412,BR,Brasil,desfecho_abortivo,gestacao_com_desfecho_abortivo,14254,162177,8.7892,23687,3834783.70,0
202412,BR,Brasil,disturbios_metabolicos,diabetes_na_gestacao,4897,162177,3.0195,19498,2975954.47,0
202412,BR,Brasil,hemorragias,hemorragia_pos_parto,226,162177,0.1394,604,133783.58,0
202412,BR,Brasil,hemorragias,outras_hemorragias_obstetricas,3452,162177,2.1285,7291,1018424.45,1
202412,BR,Brasil,infeccoes,infeccao_geniturinaria_gestacao,2742,162177,1.6907,10974,580682.40,0
202412,BR,Brasil,infeccoes,infeccao_puerperal,1195,162177,0.7368,6218,468061.20,2
202412,BR,Brasil,outras_condicoes_maternas,anemia_complicando_gestacao,124,162177,0.0765,500,50776.05,0
202412,BR,Brasil,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,5428,162177,3.347,21047,2035101.78,3
202412,BR,Brasil,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,38,162177,0.0234,131,12795.57,0
202412,BR,Brasil,outras_condicoes_maternas,outras_condicoes_da_gestacao,1456,162177,0.8978,4668,486241.29,1
202412,BR,Brasil,transtornos_hipertensivos,eclampsia,480,162177,0.296,2107,416167.73,2
202412,BR,Brasil,transtornos_hipertensivos,hipertensao_gestacional,2181,162177,1.3448,7359,1408412.25,1
202412,BR,Brasil,transtornos_hipertensivos,outros_hipertensivos,2523,162177,1.5557,9103,2003015.31,0
202412,BR,Brasil,transtornos_hipertensivos,pre_eclampsia,4437,162177,2.7359,19006,3725513.86,5
